LOCATION,Country,Value,GDPPerCapita 
AUS,Australia,7.3,28452.17061
AUT,Austria,7.1,1404.953164
BEL,Belgium,6.9,509.2201005
CAN,Canada,7.4,1666.422406
CZE,Czech Republic,6.7,3506.073128
DNK,Denmark,7.6,4124.055726
FIN,Finland,7.6,37475.63506
FRA,France,6.5,5938.791328
DEU,Germany,7,38141.86713
GRC,Greece,5.4,12790.24247
HUN,Hungary,5.6,3591.828052
ISL,Iceland,7.5,12038.2497
IRL,Ireland,7,15198.74297
ITA,Italy,6,49971.13146
JPN,Japan,5.9,45276.83144
KOR,Korea,5.9,3880.738731
LUX,Luxembourg,6.9,282.1930285
MEX,Mexico,6.5,41984.10303
NLD,Netherlands,7.4,1087.287304
NZL,New Zealand,7.3,688.2506963
NOR,Norway,7.6,1401.564635
POL,Poland,6.1,7548.855007
PRT,Portugal,5.4,22608.45256
SVK,Slovak Republic,6.2,31563.30787
ESP,Spain,6.3,4994.68904
SWE,Sweden,7.3,5022.626643
CHE,Switzerland,7.5,4856.973249
TUR,Turkey,5.5,106885.8785
GBR,United Kingdom,6.8,3076.656439
USA,United States,6.9,8710.096774
BRA,Brazil,6.4,16900.04829
CHL,Chile,6.5,27158.40565
EST,Estonia,5.7,2930.574923
ISR,Israel,7.2,7243.933974
LVA,Latvia,5.9,402.1916349
RUS,Russia,5.8,42315.60371
SVN,Slovenia,5.9,12820.40461
ZAF,South Africa,4.7,83073.28008
OECD,OECD - Total,6.5,7243.933974
AUS,Australia,7.2,13753.59215
AUT,Austria,7.1,8147.937705
BEL,Belgium,6.9,2013.381448
CAN,Canada,7.3,1364.32954
CZE,Czech Republic,6.7,471.3188225
DNK,Denmark,7.5,2039.453223
FIN,Finland,7.5,5870.777957
FRA,France,6.6,1273.05092
DEU,Germany,7,3130.998753
GRC,Greece,5.3,12011.22275
HUN,Hungary,5.6,9560.194679
ISL,Iceland,7.4,8060.796598
IRL,Ireland,7,19555.36585
ITA,Italy,6.2,78471.62873
JPN,Japan,5.8,24605.92083
KOR,Korea,5.6,18575.23203
LUX,Luxembourg,7,42107.51727
MEX,Mexico,6.4,2802.181971
NLD,Netherlands,7.4,8080.968623
NZL,New Zealand,7.2,54663.99837
NOR,Norway,7.6,7280.88361
POL,Poland,6,3946.452425
PRT,Portugal,5.4,6605.25392
SVK,Slovak Republic,6.3,3244.234042
ESP,Spain,6.2,9886.903947
SWE,Sweden,7.3,7177.772237
CHE,Switzerland,7.5,22404.90314
TUR,Turkey,5.4,6060.092962
GBR,United Kingdom,6.9,3519.87324
USA,United States,6.8,35134.71691
BRA,Brazil,6.2,3519.87324
CHL,Chile,6.5,26505.34322
EST,Estonia,5.8,18282.92339
ISR,Israel,7.2,717.1248698
LVA,Latvia,5.9,31162.27355
RUS,Russia,5.9,1664.827948
SVN,Slovenia,6,43784.28396
